,C5,C4,C3,C2,C1
1972-02-16,1.7034521,-0.9253793,0.68397576,1.7482603,0.6516619
1972-02-17,1.6849394,-0.9602051,0.6815908,1.7547038,0.65263677
1972-02-18,1.6269113,-0.9685168,0.71174246,1.7707243,0.65458745
1972-02-22,1.6082618,-0.8659373,0.6986112,1.7756726,0.6525251
1972-02-23,1.5470421,-0.9691777,0.73197734,1.8027289,0.6365721
1972-02-24,1.5300536,-0.88787204,0.71316624,1.8065784,0.6376965
1972-02-25,1.4721901,-0.6069556,0.6558251,1.8249478,0.6281848
1972-02-28,1.4547397,-0.59165263,0.6787193,1.8305403,0.62445176
1972-02-29,1.4438868,-0.60087854,0.67660344,1.835506,0.6210301
1972-03-01,1.4521289,-0.5190107,0.67843235,1.8268616,0.62991333
1972-03-02,1.449662,-0.44690084,0.6603991,1.8222563,0.64009225
1972-03-03,1.438678,-0.44475013,0.66035783,1.8274807,0.63511384
1972-03-06,1.4314176,-0.39855087,0.6759522,1.8304034,0.62995434
1972-03-07,1.4215117,-0.42008367,0.6895567,1.8377907,0.61974746
1972-03-08,1.4119732,-0.43540323,0.7026691,1.8412344,0.6178289
1972-03-09,1.3697304,-0.47337586,0.72429883,1.8602579,0.60209596
1972-03-10,1.2918731,-0.6000926,0.7481681,1.8984504,0.5713762
1972-03-13,1.2231654,-0.5951055,0.78177595,1.9363093,0.52293944
1972-03-14,1.1606671,-0.7078711,0.7840235,1.9603121,0.51271725
1972-03-15,1.095053,-0.82869565,0.8007798,1.9956677,0.46819347
1972-03-16,1.0992033,-0.77483696,0.7706944,1.989743,0.48455757
1972-03-17,1.06408,-0.89602816,0.82068014,2.00408,0.46905375
1972-03-20,1.0851599,-0.8599213,0.74783534,2.0037642,0.46726787
1972-03-21,1.1530225,-0.705719,0.6661856,1.9808884,0.4841419
1972-03-22,1.2130806,-0.72164726,0.6644207,1.9571164,0.5064572
1972-03-23,1.1818311,-0.8722007,0.69742405,1.9771488,0.47816196
1972-03-24,1.1011854,-0.94912606,0.7122775,2.0062885,0.46039942
1972-03-27,1.0752976,-0.970682,0.7088973,2.0108368,0.47015798
1972-03-28,1.0397612,-1.0469544,0.7704688,2.0216422,0.4594105
1972-03-29,1.0013125,-1.1887796,0.8195906,2.0397773,0.4350473
1972-03-30,0.978071,-1.2317452,0.81409264,2.0510974,0.42437404
1972-04-03,0.98712426,-1.2640454,0.8613622,2.0491228,0.41217947
1972-04-04,0.98148227,-1.3805318,0.9346578,2.0581038,0.36916834
1972-04-05,0.997671,-1.2917871,0.9042434,2.0503662,0.38416284
1972-04-06,1.018547,-1.3023357,0.92419523,2.0434422,0.38264155
1972-04-07,1.0292479,-1.2981703,0.9210633,2.0401092,0.38502762
1972-04-10,1.0604248,-1.2275527,0.8848902,2.0280933,0.40416193
1972-04-11,1.0485556,-1.2311536,0.9333765,2.0321002,0.38494635
1972-04-12,1.0573269,-1.2594543,0.9735216,2.0309095,0.36671218
1972-04-13,1.1418008,-1.1680477,0.89688563,2.0191588,0.34214488
1972-04-14,1.1670296,-1.05496,0.8457261,2.010542,0.35675436
1972-04-17,1.180518,-0.9939005,0.8380888,2.0017638,0.374079
1972-04-18,1.2134168,-1.0776389,0.85463095,1.9914494,0.3836668
1972-04-19,1.2040478,-1.138607,0.88305515,1.9899056,0.3945735
1972-04-20,1.2408895,-1.13065,0.889712,1.974141,0.41040435
1972-04-21,1.252502,-1.1976128,0.97446513,1.9576595,0.43214077
1972-04-24,1.3154988,-1.0897977,0.94555914,1.9402783,0.4278853
1972-04-25,1.3625712,-0.9401581,0.9561375,1.9153764,0.4453273
1972-04-26,1.343211,-0.9454434,0.92401683,1.9197935,0.45755747
1972-04-27,1.3207321,-0.81801915,0.77648145,1.9022657,0.5514323
1972-04-28,1.3294768,-0.8151221,0.6722509,1.9192888,0.52254915
1972-05-01,1.3311701,-0.73631966,0.6675893,1.9141318,0.52986157
1972-05-02,1.3435674,-0.7478284,0.6730865,1.9162068,0.51326823
1972-05-03,1.3423985,-0.8017917,0.699484,1.9185724,0.5075661
1972-05-04,1.3543516,-0.8923168,0.7245903,1.9183407,0.49921483
1972-05-05,1.3703825,-0.94843364,0.7283268,1.9133004,0.5046869
1972-05-08,1.3617342,-0.98728466,0.73739856,1.9171896,0.50097823
1972-05-09,1.3244528,-0.95492387,0.7329111,1.9366302,0.47468558
1972-05-10,1.3258988,-0.89036447,0.70171475,1.9316282,0.48813182
1972-05-11,1.3324884,-0.7949093,0.6778065,1.9259167,0.49599364
1972-05-12,1.3293576,-0.723962,0.63128626,1.9223244,0.50988007
1972-05-15,1.3125937,-0.6495043,0.58640444,1.9281847,0.5094142
1972-05-16,1.2775738,-0.6715764,0.57510686,1.9447932,0.49537253
1972-05-17,1.2126793,-0.7149579,0.6118331,1.9610533,0.49866357
1972-05-18,1.2178717,-0.66561556,0.61121583,1.9543555,0.50885665
1972-05-19,1.2348096,-0.59410286,0.5591902,1.9522016,0.5056688
1972-05-22,1.204332,-0.5186641,0.57313335,1.9470665,0.5346236
1972-05-23,1.2549014,-0.42485973,0.53878903,1.9326978,0.5350079
1972-05-24,1.2539018,-0.42281455,0.5447458,1.9339211,0.53101736
1972-05-25,1.2579508,-0.39581695,0.58963645,1.9183477,0.55988866
1972-05-26,1.2495527,-0.41160634,0.5877099,1.9216155,0.55805415
1972-05-30,1.2420996,-0.4058082,0.55734694,1.9247532,0.5612896
1972-05-31,1.2620602,-0.42902747,0.5541452,1.9273543,0.5403924
1972-06-01,1.1866438,-0.5728338,0.5966943,1.9511955,0.53623384
1972-06-02,1.1639439,-0.5849675,0.595212,1.9628899,0.522436
1972-06-05,1.1996307,-0.56243575,0.5537536,1.9634917,0.4988353
1972-06-06,1.1956642,-0.5722169,0.5718348,1.9695479,0.48412517
1972-06-07,1.1944458,-0.5573469,0.5500288,1.9678603,0.49132374
1972-06-08,1.2047874,-0.5246139,0.57249534,1.9615197,0.49321944
1972-06-09,1.1968601,-0.526589,0.5633708,1.9635589,0.49653965
1972-06-12,1.1858253,-0.55211717,0.56285703,1.9677141,0.49702337
1972-06-13,1.181089,-0.5653138,0.5807295,1.969638,0.4927699
1972-06-14,1.0898352,-0.6361873,0.668635,1.9806191,0.5239464
1972-06-15,1.0610421,-0.6639565,0.667354,1.9915727,0.5189543
1972-06-16,1.0356463,-0.58882886,0.68133235,1.9995682,0.50785923
1972-06-19,1.0136944,-0.58140635,0.6958593,2.0017207,0.51485187
1972-06-20,1.000934,-0.5948496,0.7231701,2.0051901,0.51094115
1972-06-21,0.98686254,-0.6489139,0.75916326,2.0117366,0.4983042
1972-06-22,0.9557396,-0.7137693,0.77279985,2.0279007,0.4800797
1972-06-23,0.92768073,-0.75458187,0.7590211,2.039859,0.47434774
1972-06-26,0.8959467,-0.88540065,0.7389369,2.0593119,0.45760688
1972-06-27,0.9062313,-0.8060042,0.7095833,2.0539103,0.46487072
1972-06-28,0.9282905,-0.89516914,0.6900794,2.0517478,0.46436027
1972-06-29,0.907854,-0.95393836,0.7015895,2.0639799,0.44710287
1972-06-30,0.87199557,-0.95401025,0.6638836,2.0813904,0.4327076
1972-07-03,0.8660474,-0.91756785,0.6660675,2.080101,0.4385895
1972-07-05,0.88703215,-0.91235006,0.65091443,2.070936,0.45388335
1972-07-06,0.89632696,-0.9162015,0.6353035,2.0671782,0.46176717
1972-07-07,0.88680476,-0.92897165,0.6873893,2.0687633,0.4519292
1972-07-10,0.87359166,-0.93163,0.6801832,2.074321,0.4491435
1972-07-11,0.8733034,-0.899723,0.6824608,2.0732372,0.44931167
1972-07-12,0.8863799,-0.90573347,0.6780897,2.0691457,0.4530569
1972-07-13,0.93097657,-0.8899949,0.6222174,2.0617526,0.44918445
1972-07-14,0.9743091,-0.8303643,0.6195444,2.0436728,0.4637035
1972-07-17,0.98555756,-0.8298875,0.6557042,2.0388546,0.46162406
1972-07-18,0.98090756,-0.83326304,0.66513205,2.0406792,0.45820835
1972-07-19,1.0051929,-0.79614294,0.6722517,2.0292525,0.46696764
1972-07-20,1.0081506,-0.8529167,0.71091616,2.0289683,0.46033198
1972-07-21,1.0080038,-0.8188982,0.72244775,2.0292418,0.45413142
1972-07-24,1.0140556,-0.7711145,0.7117158,2.0277839,0.45280966
1972-07-25,1.0230136,-0.7460797,0.7019798,2.0239305,0.45643187
1972-07-26,1.0330145,-0.7346916,0.7041145,2.0175261,0.46379614
1972-07-27,1.0801139,-0.7508081,0.77062523,2.0037546,0.4490818
1972-07-28,1.1435148,-0.7713421,0.716611,1.9922655,0.44365558
1972-07-31,1.1729858,-0.78630996,0.7209853,1.9817958,0.45044068
1972-08-01,1.1761072,-0.8169397,0.7370208,1.9804113,0.45116624
1972-08-02,1.2023025,-0.7920371,0.71510774,1.9683934,0.46832606
1972-08-03,1.1847115,-0.83691704,0.7255386,1.9754193,0.4635813
1972-08-04,1.1657407,-0.85381407,0.7328413,1.9838928,0.454659
1972-08-07,1.1563785,-0.90758127,0.7264066,1.9907509,0.45032674
1972-08-08,1.1493087,-0.88328725,0.7317921,1.9900802,0.45489764
1972-08-09,1.1626453,-0.8361155,0.7068784,1.9836718,0.46336102
1972-08-10,1.1726284,-0.8356017,0.71390295,1.9833248,0.45344055
1972-08-11,1.167488,-0.82959354,0.7136935,1.985127,0.45201933
1972-08-14,1.1513516,-0.8288274,0.7004343,1.9946097,0.44015223
1972-08-15,1.1484832,-0.7440696,0.7139045,1.9921296,0.44118512
1972-08-16,1.1536627,-0.7420705,0.70237213,1.991498,0.44078434
1972-08-17,1.1607196,-0.7471523,0.6997788,1.991247,0.4370364
1972-08-18,1.1278294,-0.72785366,0.66063666,2.007338,0.42161524
1972-08-21,1.0965071,-0.67891234,0.6289999,2.0190141,0.4157211
1972-08-22,1.0603182,-0.64309907,0.61525667,2.031664,0.40847194
