,C1,C2,C3
1972-04-04,1.3111066,-0.33216995,-0.87803656
1972-04-05,1.2207177,-0.34909046,-0.8336172
1972-04-06,1.2322444,-0.3817848,-0.8471006
1972-04-07,1.2168598,-0.39684615,-0.8430936
1972-04-10,1.0970132,-0.43721187,-0.8007591
1972-04-11,1.218692,-0.4254562,-0.83168095
1972-04-12,1.3287498,-0.44334608,-0.8619701
1972-04-13,1.416773,-0.54455084,-0.7741958
1972-04-14,1.3160185,-0.5695245,-0.7088478
1972-04-17,1.2181443,-0.5885018,-0.69008505
1972-04-18,1.1684207,-0.64101017,-0.72152823
1972-04-19,1.12431,-0.63586766,-0.7591326
1972-04-20,1.040991,-0.6888283,-0.75756425
1972-04-21,0.958938,-0.7222586,-0.8278197
1972-04-24,0.95926845,-0.8067944,-0.7732547
1972-04-25,0.8622074,-0.8768475,-0.73732215
1972-04-26,0.7895502,-0.8476812,-0.7245835
1972-04-27,0.24493247,-0.79782337,-0.6112428
1972-04-28,0.3578074,-0.7897409,-0.53641593
1972-05-01,0.31279546,-0.7917065,-0.5125885
1972-05-02,0.40506867,-0.8081729,-0.51497036
1972-05-03,0.4500791,-0.8111322,-0.54436356
1972-05-04,0.50657284,-0.8317357,-0.57765657
1972-05-05,0.4769302,-0.8579786,-0.59381133
1972-05-08,0.50148034,-0.84721214,-0.61005193
1972-05-09,0.64241046,-0.78874546,-0.6011419
1972-05-10,0.55911607,-0.786888,-0.5662737
1972-05-11,0.50369394,-0.7916754,-0.5271746
1972-05-12,0.40553677,-0.779582,-0.4812987
1972-05-15,0.38895988,-0.74767137,-0.43727568
1972-05-16,0.4669824,-0.6945229,-0.4386149
1972-05-17,0.4774811,-0.6079048,-0.47720623
1972-05-18,0.41993645,-0.6147004,-0.4632818
1972-05-19,0.40884233,-0.6296336,-0.41371816
1972-05-22,0.25662014,-0.588065,-0.40484622
1972-05-23,0.22882794,-0.65377253,-0.35694265
1972-05-24,0.25559223,-0.6525461,-0.3597522
1972-05-25,0.10992814,-0.6668308,-0.37939975
1972-05-26,0.11808332,-0.65553474,-0.38279203
1972-05-30,0.088556215,-0.6396525,-0.36403784
1972-05-31,0.20348759,-0.6674448,-0.3656781
1972-06-01,0.2607509,-0.5679992,-0.43455806
1972-06-02,0.34158272,-0.53317213,-0.4366553
1972-06-05,0.44842425,-0.5755992,-0.4018398
1972-06-06,0.53810936,-0.5709162,-0.41539705
1972-06-07,0.4897092,-0.56603724,-0.3982828
1972-06-08,0.4868094,-0.5842435,-0.4020277
1972-06-09,0.46540534,-0.57203007,-0.3985224
1972-06-12,0.46371722,-0.55704397,-0.40870902
1972-06-13,0.4953359,-0.5529616,-0.4228322
1972-06-14,0.3738801,-0.43860176,-0.50882304
1972-06-15,0.40876165,-0.39554238,-0.51665723
1972-06-16,0.48163575,-0.35599655,-0.50496256
1972-06-19,0.44864535,-0.3285199,-0.518743
1972-06-20,0.48250937,-0.31418237,-0.54042727
1972-06-21,0.5640263,-0.3009415,-0.5782857
1972-06-22,0.6705112,-0.2586681,-0.6056381
