,C1,C2,C3
1972-10-30,0.5880732,-1.0042641,-0.8532691
1972-10-31,0.57267594,-0.99689233,-0.84511745
1972-11-01,0.56696427,-0.9568689,-0.8543753
1972-11-02,0.44803786,-0.957797,-0.82077426
1972-11-03,0.39742714,-0.9295704,-0.8103377
1972-11-06,0.35349524,-0.9104819,-0.7989282
1972-11-08,0.4251898,-0.92624724,-0.7866397
1972-11-09,0.44058162,-0.9194168,-0.80391043
1972-11-10,0.41198704,-0.9383592,-0.8157946
1972-11-13,0.33971107,-0.9482218,-0.78337216
1972-11-14,0.32882494,-0.9363681,-0.77287495
1972-11-15,0.2649431,-0.9265801,-0.7649551
1972-11-16,0.2862563,-0.9353371,-0.7741423
1972-11-17,0.33439085,-0.90567905,-0.77415264
1972-11-20,0.2992451,-0.9267751,-0.7462844
1972-11-21,0.3147543,-0.964793,-0.74390167
1972-11-22,0.32126266,-0.9786542,-0.72603625
1972-11-24,0.3261641,-0.98860395,-0.7194187
1972-11-27,0.40626973,-0.98252475,-0.72023535
1972-11-28,0.37436166,-1.0173692,-0.695917
1972-11-29,0.32855397,-1.0332968,-0.646577
1972-11-30,0.34482175,-1.0273525,-0.66036904
1972-12-01,0.3342547,-1.0581836,-0.6470862
1972-12-04,0.34465063,-1.0819118,-0.6190026
1972-12-05,0.36454612,-1.1102614,-0.6146761
1972-12-06,0.3513354,-1.1175747,-0.60082275
1972-12-07,0.32907307,-1.1265118,-0.5867221
1972-12-08,0.3484835,-1.1492717,-0.58398724
1972-12-11,0.3515988,-1.1681727,-0.5709796
1972-12-12,0.32198513,-1.182438,-0.56954473
1972-12-13,0.31289056,-1.1689559,-0.58289605
1972-12-14,0.29858613,-1.1753342,-0.5801633
1972-12-15,0.3044809,-1.166094,-0.5690907
1972-12-18,0.41862774,-1.154446,-0.5838986
1972-12-19,0.40094683,-1.2080421,-0.5780106
1972-12-20,0.4173885,-1.1974953,-0.58009756
1972-12-21,0.4093185,-1.1750689,-0.55676484
1972-12-22,0.44758087,-1.147819,-0.563927
1972-12-26,0.439322,-1.1627496,-0.5453368
1972-12-27,0.49735087,-1.131143,-0.54390407
1972-12-28,0.551332,-1.1018937,-0.56509334
1972-12-29,0.59538025,-1.1016389,-0.55807287
1973-01-02,0.6520467,-1.1187148,-0.5532804
1973-01-03,0.6203617,-1.1007313,-0.5429208
1973-01-04,0.55760676,-1.109944,-0.5275872
1973-01-05,0.6258145,-1.1037501,-0.55801785
1973-01-08,0.68143797,-1.1028115,-0.57729596
1973-01-09,0.66467595,-1.1091478,-0.55325794
1973-01-10,0.6863857,-1.1165543,-0.5460401
1973-01-11,0.71516126,-1.1245229,-0.50919926
1973-01-12,0.7595289,-1.1216104,-0.49988517
1973-01-15,0.7361785,-1.1481075,-0.44881922
1973-01-16,0.74809486,-1.1847457,-0.4104267
1973-01-17,0.715175,-1.2010361,-0.40220702
1973-01-18,0.7122985,-1.2662135,-0.3918527
1973-01-19,0.78178996,-1.2930217,-0.39272082
1973-01-22,0.809915,-1.3303596,-0.4003307
1973-01-23,0.7911379,-1.3160326,-0.368087
1973-01-24,0.85859936,-1.3042257,-0.3715862
1973-01-25,0.8837116,-1.3515679,-0.36170134
1973-01-26,0.9809272,-1.339906,-0.3127985
1973-01-29,1.0045056,-1.363936,-0.3117086
1973-01-30,0.9948236,-1.3571897,-0.31751648
1973-01-31,1.0052646,-1.3429328,-0.31561953
1973-02-01,1.1924328,-1.2838311,-0.34440112
1973-02-02,1.2411478,-1.3008085,-0.37449923
1973-02-05,1.2232288,-1.3296264,-0.39046723
1973-02-06,1.2282157,-1.3212878,-0.40549546
1973-02-07,1.2292744,-1.2670124,-0.48911217
1973-02-08,1.2258942,-1.2312921,-0.5687647
1973-02-09,1.1586893,-1.2292835,-0.58319247
1973-02-13,1.17422,-1.2276164,-0.55859953
1973-02-14,1.1707798,-1.2195115,-0.60489595
1973-02-15,1.137979,-1.2255565,-0.6813831
1973-02-16,1.1794797,-1.2207226,-0.70349634
1973-02-20,1.3614181,-1.2149657,-0.71067816
1973-02-21,1.3873408,-1.2495649,-0.6394436
